original_order;base_d;full_d;base_e;base_p;verbformen;s1;s1e;s1p;Note;Tags
1;abhängen ...;abhängen von + D;depend on;وابسته بودن به;;Es hängt von dir ab, was wir machen.;It depends on you what we do.;این به تو بستگی دارد که چه کاری انجام دهیم.;;
2;abmelden …;abmelden bei + D;deregister from;لغو ثبت نام نزد شخص یا جایی;;Ich melde mich bei der Behörde ab;I am deregistering at the authority;من از اداره انصراف می‌دهم (ثبت‌نامم را لغو می‌کنم);Ich melde mich ... der Behörde ab;
3;abmelden …;abmelden von + D;deregister from;لغو ثبت نام از چیزی (انصراف دادن از چیزی);;Sie hat sich vom Deutschkurs abgemeldet.;She has deregistered from the German course.;او از دوره آلمانی انصراف داده است.;Sie hat sich ... Deutschkurs abgemeldet.;
4;abrechnen ...;abrechnen mit + D;settle with;تسویه حساب کردن با;;Ole rechnet die Kosten mit seiner Firma ab.;Ole settles the costs with his company.;اوله هزینه‌ها را با شرکتش تسویه کرد.;;
5;abschließen ...;abschließen mit + D;conclude with;پایان دادن به;;Wir schließen einen Vertrag mit dem Käufer ab.;We are concluding a contract with the buyer.;ما یک قرارداد را با خریدار به پایان می‌بریم.;;
6;abstimmen ...;abstimmen über + A;vote on;رای دادن به;;Wir stimmen über den neuen Plan ab;We are voting on the new plan;ما در مورد طرح جدید رأی‌گیری می‌کنیم.;;
7;achten ...;achten auf + A;pay attention to;توجه کردن به;;Achte besser auf deine Gesundheit!;Pay better attention to your health!;به سلامتی خودت بیشتر توجه کن!;;
8;anbieten ...;anbieten zu + D;offer to;پیشنهاد دادن به;;Ich biete dir mein Auto zum Kauf an.;I offer you my car for sale.;من ماشینم را برای فروش به تو پیشنهاد می‌کنم.;;
9;ändern ...;ändern an + D;change about;تغییر دادن در;;Das ändert nichts an der Situation!;That changes nothing about the situation!;این اوضاع را تغییر نمی‌دهد!;;
10;anfangen ...;anfangen mit + D;start with;شروع کردن با;;Wir fangen mit der Übung an;We are starting with the exercise; ما با تمرین شروع می‌کنیم.;;
11;ankommen ...;ankommen auf + A;depend on;بستگی داشتن به;;Jetzt kommt es auf dich an!;Now it's up to you!;حالا این به تو بستگی دارد!;;
12;anrufen ...;anrufen bei + D;call at;تماس گرفتن با;;Du musst noch beim Reisebüro anrufen.;You still need to call the travel agency.;تو هنوز باید با آژانس مسافرتی تماس بگیری.;;
13;ansehen ...;ansehen als + A;consider as;در نظر گرفتن به عنوان;;Er sieht mich als seinen Freund an.;He considers me as his friend.;او مرا به عنوان دوستش در نظر می‌گیرد.;;
14;anstellen ...;anstellen als + A;hire as;استخدام کردن به عنوان;;Sie wurde als Ingenieurin angestellt.;She was hired as an engineer.;او به عنوان مهندس استخدام شد.;;
15;antworten ...;antworten auf + A;answer to;پاسخ دادن به;;Antworte bitte auf meine Frage!;Please answer my question!;لطفاً به سوال من پاسخ دهید!;;
